BAM	USED	TOTAL	USED_PERCENT
/scratch/prj/ppn_rnp_networks/users/sidra.bichay/hnRNPH1_IR_MAF/bam_files/C1_EKRN260006273-1A_23GK2TLT4_L6_1.sorted.bam	4464196	13776785	32.40
/scratch/prj/ppn_rnp_networks/users/sidra.bichay/hnRNPH1_IR_MAF/bam_files/C2_1.sorted.bam	3924438	12342528	31.80
/scratch/prj/ppn_rnp_networks/users/sidra.bichay/hnRNPH1_IR_MAF/bam_files/C3_EKRN260006275-1A_23GK2TLT4_L6_1.sorted.bam	13921681	42806200	32.52
/scratch/prj/ppn_rnp_networks/users/sidra.bichay/hnRNPH1_IR_MAF/bam_files/C4_EKRN260006276-1A_23GK2TLT4_L6_1.sorted.bam	15775126	47270591	33.37
/scratch/prj/ppn_rnp_networks/users/sidra.bichay/hnRNPH1_IR_MAF/bam_files/C5_EKRN260006277-1A_23GK2TLT4_L6_1.sorted.bam	16082259	47910750	33.57
/scratch/prj/ppn_rnp_networks/users/sidra.bichay/hnRNPH1_IR_MAF/bam_files/C6_EKRN260006278-1A_23GK2TLT4_L6_1.sorted.bam	14319996	42310829	33.84
/scratch/prj/ppn_rnp_networks/users/sidra.bichay/hnRNPH1_IR_MAF/bam_files/T1_EKRN260006279-1A_23GK2TLT4_L6_1.sorted.bam	16639487	49524365	33.60
/scratch/prj/ppn_rnp_networks/users/sidra.bichay/hnRNPH1_IR_MAF/bam_files/T2_EKRN260006280-1A_23GK2TLT4_L6_1.sorted.bam	15774385	46844159	33.67
/scratch/prj/ppn_rnp_networks/users/sidra.bichay/hnRNPH1_IR_MAF/bam_files/T3_EKRN260006281-1A_23GK2TLT4_L6_1.sorted.bam	17100416	51623507	33.13
/scratch/prj/ppn_rnp_networks/users/sidra.bichay/hnRNPH1_IR_MAF/bam_files/T4_EKRN260006282-1A_23GK2TLT4_L6_1.sorted.bam	16982056	51146807	33.20
/scratch/prj/ppn_rnp_networks/users/sidra.bichay/hnRNPH1_IR_MAF/bam_files/T5_1.sorted.bam	16336563	49146116	33.24
/scratch/prj/ppn_rnp_networks/users/sidra.bichay/hnRNPH1_IR_MAF/bam_files/T6_EKRN260006284-1A_23GK2TLT4_L6_1.sorted.bam	16613940	49050252	33.87
